,Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,Months at Company
0,52685,36.0,Male,13,Healthcare,8029,Excellent,High,Average,1,Yes,83.0,Master’s Degree,Married,,Mid,Large,22,No,No,No,Poor,Medium,Stayed,157
1,30585,35.0,Male,7,Education,4563,Good,High,Average,1,Yes,55.0,Associate Degree,Single,4.0,Entry,Medium,27,No,No,No,Good,High,Left,84
2,54656,50.0,Male,7,Education,5583,Fair,High,Average,3,Yes,14.0,Associate Degree,Divorced,2.0,Senior,Medium,76,No,No,Yes,Good,,Stayed,85
3,33442,58.0,Male,44,Media,5525,Fair,Very High,High,0,Yes,43.0,Master’s Degree,Single,4.0,Entry,Medium,96,,No,No,Poor,Low,Left,528
4,15667,39.0,Male,24,Education,4604,Good,High,Average,0,Yes,47.0,Master’s Degree,Married,6.0,Mid,Large,45,Yes,No,No,Good,High,Stayed,289
5,3496,45.0,Female,30,Healthcare,8104,Fair,High,Average,0,No,38.0,Associate Degree,Divorced,0.0,Senior,Large,75,No,No,No,Good,Low,Stayed,361
6,46775,22.0,Female,5,Healthcare,8700,Good,High,Average,0,No,2.0,High School,Married,0.0,Mid,Small,48,No,No,No,Poor,High,Stayed,60
7,72645,34.0,Female,15,Technology,11025,Fair,Medium,High,1,No,9.0,Master’s Degree,Single,4.0,Entry,Large,16,No,No,No,Good,Low,Left,179
8,4941,48.0,Female,40,Technology,11452,Good,Medium,Below Average,0,No,65.0,Associate Degree,Divorced,1.0,Mid,Large,52,No,No,No,Good,Medium,Stayed,479
9,65181,55.0,Female,16,Media,5939,Poor,High,Average,0,No,31.0,Associate Degree,Divorced,1.0,Entry,Small,46,No,No,No,Good,High,Stayed,193
10,49522,32.0,Female,12,Healthcare,8144,Good,High,Below Average,0,Yes,28.0,High School,Married,1.0,Mid,Medium,57,,No,No,Fair,Medium,Stayed,145
11,8195,26.0,Female,15,Finance,4758,Good,High,High,2,Yes,35.0,Bachelor’s Degree,Married,1.0,Senior,Medium,91,,No,No,Good,Medium,Stayed,180
12,52948,45.0,Female,3,Media,6370,Fair,Medium,High,3,No,30.0,Bachelor’s Degree,Married,3.0,Senior,Medium,60,No,No,No,Good,High,Stayed,36
13,35067,42.0,Male,3,Healthcare,8344,,Very High,Average,0,No,88.0,Master’s Degree,Married,0.0,Mid,Small,14,No,No,No,Good,,Stayed,36
14,53650,35.0,Female,5,Finance,10449,Good,Very High,Average,1,No,51.0,Bachelor’s Degree,Single,0.0,Entry,Small,69,No,No,No,Good,Low,Left,60
15,49803,52.0,Female,44,Technology,12514,,Very High,Average,1,Yes,38.0,High School,Married,,Mid,Small,117,No,No,No,Good,Low,Stayed,528
16,2213,42.0,Male,14,Education,5076,Fair,High,High,0,Yes,53.0,Bachelor’s Degree,Single,5.0,Entry,Medium,68,No,No,No,Good,High,Stayed,168
17,48091,37.0,Male,28,Technology,8287,Fair,Medium,High,0,No,10.0,Bachelor’s Degree,Married,5.0,Entry,Large,100,No,No,No,Good,Low,Left,336
18,49462,56.0,Male,24,Healthcare,8963,Excellent,High,Average,1,No,43.0,Bachelor’s Degree,,0.0,Mid,Medium,81,No,No,No,Good,High,Stayed,288
19,16073,21.0,Female,1,Healthcare,7869,Fair,High,High,0,No,23.0,Master’s Degree,Married,,Senior,Large,64,No,No,Yes,Good,Low,Stayed,13
20,54967,47.0,Female,11,,6664,Fair,High,Average,1,No,77.0,Associate Degree,Single,4.0,Mid,Small,41,No,No,No,Good,High,Left,132
21,35183,47.0,Female,35,Healthcare,9319,Excellent,Very High,Below Average,2,Yes,89.0,High School,Single,3.0,Mid,Medium,44,No,No,Yes,Excellent,Medium,Left,420
22,455,50.0,Male,15,Healthcare,8209,Good,High,Average,0,No,7.0,Master’s Degree,,,Senior,Medium,91,No,No,No,Excellent,Very High,Left,181
23,36359,40.0,Male,22,,5593,Good,High,Average,0,No,74.0,Associate Degree,Single,0.0,Entry,Medium,55,No,No,No,Good,Low,Stayed,265
24,36048,50.0,Female,19,Finance,8345,Fair,High,Below Average,2,No,55.0,Associate Degree,Married,3.0,Entry,Medium,24,No,No,No,Fair,High,Left,228
25,54081,23.0,Male,4,Education,4532,Excellent,High,Average,1,Yes,87.0,Master’s Degree,Single,1.0,Mid,Medium,60,No,No,No,Good,High,Left,48
26,17189,43.0,Male,24,Education,3961,Poor,High,,0,No,64.0,Bachelor’s Degree,Married,0.0,Mid,Large,69,,No,No,Fair,Very High,Left,289
27,31516,,Male,2,Healthcare,7107,Excellent,Medium,Average,0,Yes,87.0,Associate Degree,Divorced,0.0,Mid,Small,18,No,No,No,Good,High,Stayed,23
28,3586,37.0,Male,20,Education,3124,Excellent,Very High,High,0,Yes,79.0,Associate Degree,Married,4.0,Entry,Medium,51,Yes,No,No,Poor,Low,Left,239
29,49198,34.0,Male,7,Healthcare,8312,Good,Medium,Below Average,1,Yes,77.0,PhD,Single,0.0,Mid,Medium,27,No,No,No,Excellent,Low,Left,83
30,60686,36.0,Male,11,Technology,8085,Fair,Medium,Below Average,0,No,76.0,Bachelor’s Degree,Married,0.0,Entry,Medium,49,No,No,No,Good,Medium,Stayed,133
31,14616,48.0,Male,8,Education,4317,Poor,High,Below Average,1,No,69.0,Master’s Degree,,4.0,Entry,Small,47,,No,No,Good,Low,Left,97
32,12605,20.0,Female,7,Media,6532,Good,High,High,0,No,26.0,Associate Degree,Married,2.0,Entry,Medium,85,Yes,No,Yes,Poor,Medium,Stayed,83
33,27617,57.0,Male,24,,6219,Excellent,Low,,3,Yes,,High School,Divorced,2.0,Entry,Medium,75,No,No,No,Excellent,High,Stayed,288
34,23602,46.0,Female,26,,8376,Fair,Very High,Low,1,No,77.0,Associate Degree,Single,1.0,Entry,Medium,94,No,No,No,Fair,Medium,Left,312
35,20883,,Female,8,Healthcare,7162,Fair,High,Below Average,1,No,46.0,Master’s Degree,Single,2.0,Entry,Large,64,Yes,No,Yes,Poor,Medium,Left,97
36,64272,22.0,Male,1,Media,6519,Poor,Medium,Average,2,No,68.0,Master’s Degree,Single,0.0,Entry,Medium,39,No,No,No,Good,Low,Left,13
37,71141,26.0,Female,16,Finance,5785,Good,Very High,Below Average,1,No,78.0,Associate Degree,Single,0.0,Entry,Medium,70,No,No,No,Good,Low,Left,192
38,62438,40.0,,23,Finance,8585,Good,Medium,Average,2,Yes,78.0,Bachelor’s Degree,Married,,Mid,Small,49,No,No,No,Poor,Low,Stayed,276
39,55672,19.0,Female,7,Media,5965,Good,Very High,Average,1,No,3.0,Bachelor’s Degree,Single,1.0,Senior,Medium,84,Yes,No,Yes,Good,Very High,Left,83
