Name,Description
Bulb Manufacturer,"A light bulb manufacturer claims that its energy saving light bulbs last on average 60 days. A sampling of size 49 is collected from the production output with a mean of 56.5 days. Using confidence level 0.05, can we statically reject the claim of the manufacturer? Assume that the standard deviation of bulb lifetime is 9 days."
New Supplier,"The deviation in target length of the parts from the new supplier must be smaller than the target value of 1.5 mm to change the current supplier. We want to find statistical evidence that the parts of the new supplier have significantly less deviation to change the supplier. A sampling of size 45 is collected from the products of the new supplier with a mean of  1.2 mm. Using confidence level 0.01, can we statically reject the null hypothesis? Assume that the standard deviation of the products of the current supplier is 0.4 mm. Can we reject the null hypothesis in the favour of the new supplier?"
Contamination of food 1,"The Food and Drug Administration (FDA) sets acceptable levels of foreign substances that end up in our food and drink. The acceptable level for insect fragments in peanut butter is 3 fragments per 10 grams. We are interested in finding problematic products in market; i.e. the food sampling that significantly contains fragments more than allowed in the regulation. A sampling of size 50 is collected from the products of a food producer with a mean of 3.6 fragments per 10 grams. Using confidence level 0.05, can we statically reject the null hypothesis? Assume that the standard deviation of all products is √3. Can we reject the null hypothesis to penalize the food producer?"
Contamination of food 2,"The Food and Drug Administration (FDA) sets acceptable levels of foreign substances that end up in our food and drink. The acceptable level for insect fragments in peanut butter is 3 fragments per 10 grams. A sampling of size 20 is collected from the products of a food producer with a mean of 3.6 fragments per 10 grams. Using confidence level 0.05, can we statically reject the null hypothesis? Assume that the standard deviation of all products is 1.73. Can we reject the null hypothesis to penalize the food producer?"
Job performance,Jane has just begun her new job as on the sales force of a very competitive company. In a sample of 32 sales calls it was found that she closed the contract for an average value of $108. Test at 5% significance that the population mean is at least $100 against the alternative that it is less than 100 dollars. Assume that standard deviation of all sales done in company is 12 dollars. Company policy requires that new members of the sales force must exceed an average of $100 per contract during the trial employment period. Can we conclude that Jane has met this requirement at the significance level of 95%?
Testing expensive goggles,"Jeffrey, as an eight-year old, established a mean time of 16.43 seconds for swimming the 25-yard freestyle, with a standard deviation of 0.8 seconds. His dad, Frank, thought that Jeffrey could swim the 25-yard freestyle faster using goggles. Frank bought Jeffrey a new pair of expensive goggles and timed Jeffrey for 15 25-yard freestyle swims. For the 15 swims, Jeffrey’s mean time was 16 seconds. Frank thought that the goggles helped Jeffrey to swim faster than the 16.43 seconds. Conduct a hypothesis test using a preset α = 0.05."
Machine repair decision,"A manufacturer of salad dressings uses machines to dispense liquid ingredients into bottles that move along a filling line. The machine that dispenses salad dressings is working properly when 8 ounces are dispensed. Suppose that the average amount dispensed in a particular sample of 35 bottles is 7.91 ounces and assume that the standard deviation of all samples is 0.173 ounces. Is there evidence that the machine should be stopped, and production wait for repairs? The lost production from a shutdown is potentially so great that management feels that the level of significance in the analysis should be 99%."
Man Weight,"The municipality of a town made a questionnaire to find evidence to the claim that the mean average weight of men in town is greater than 100kgs and assume that the standard deviation of all men in town is 15kgs. 30 men are chosen with an average weight of 112.5 Kgs. Using hypothesis testing, check if there is enough evidence to support the claim. The confidence interval is given as 95%."
Public Opinion About President,"On May 16, 1994, Newsweek reported the results of a public opinion poll that asked: “From everything you know about Bill Clinton, does he have the honesty and integrity you expect in a president?” (p. 23). Poll surveyed 518 adults and 233, or 0.45 of them (clearly less than half), answered yes. Could Clinton’s adversaries conclude from this that only a minority (less than half) of the population of Americans thought Clinton had the honesty and integrity to be president? "
Owning cell phone,"Marketers believe that 92% of adults own a cell phone. A cell phone manufacturer believes that number is actually lower. In a sample of 200 adults, 87% own a cell phone. At the 1% significance level, determine if the proportion of adults that own a cell phone is lower than the marketers’ claim."
