,title,clickbait
0,Bill Changing Credit Card Rules Is Sent to Obama With Gun Measure Included,False
1,"In Hollywood, the Easy-Money Generation Toughens Up",False
2,1700 runners still unaccounted for in UK's Lake District following flood,False
3,Yankees Pitchers Trade Fielding Drills for Putting Practice,False
4,Large earthquake rattles Indonesia; Seventh in two days,False
5,Coldplay's new album hits stores worldwide this week,False
6,U.N. Leader Presses Sri Lanka on Speeding Relief to War Refugees in Camps,False
7,2 Somali-Americans Charged With Aiding Terror,False
8,"US Highway Administration releases interim report on Boston's Big Dig: press release claims tunnel safe, but report does not",False
9,White House Announces International Meetings to Address Energy and Climate Issues,False
10,"With Troubled Coyotes, Gretzky Called On as Savior Again",False
11,Door opens mid-Qantas flight; plane makes an emergency landing,False
12,Gas prices surge in Northeast US,False
13,"Schapelle Corby found guilty, sentenced to 20 years",False
14,"2008 SecuTech Expo starts in Taipei, Taiwan for grasping global security industry",False
15,"New year introduces Illinois texting while driving ban, among other laws",False
16,Rod Woodson Tries to Stay Grounded Amid Hall of Fame Talk,False
17,Former US President Gerald Ford hospitalized with pneumonia,False
18,Obama Welcomes Specter to the Party,False
19,"New law to help asbestos sufferers in Victoria, Australia",False
20,France Approves Crackdown on Internet Piracy,False
21,"With Fine Print, the Rollout Dazzles This Time",False
22,UK's most-read papers found to be in contempt of court,False
23,"As Germany Sinks, Its Economic System Is Questioned",False
24,Tropical Storm Dolores now active,False
25,Car Bomb Kills Police Official in Spain,False
26,"'Invitational Games for the Deaf, Taipei 2008' starts, new slogan for 2009 Summer Deaflympics unveiled",False
27,US government stops Haiti evacuations,False
28,Credit Card Industry Aims to Profit From Sterling Payers,False
29,Google Maps incorporates satellite images,False
30,"Seven dead, one missing, two survive French helicopter crash off Gabon coast",False
31,Wikinews interviews 0 A.D. game development team,False
32,Gates Issues Warning to North Korea,False
33,Global Industrial Slump Prompts Plant Closings and Layoffs Across Asia,False
34,Nuclear leaks after Japan quake are worse than first reported,False
35,"UEFA Champions League: April 1, 2008",False
36,"Medtronic Paid $788,000 to Doctor Accused of Faking Study",False
37,Ivory Coast beats Serbia and Montenegro 3-2 in Group C,False
38,Political Shifts on Gay Rights Lag Behind Culture,False
39,Taliban militant kills at least thirteen in northwest Pakistan,False
40,National Park Service covers donation box at United Airlines Flight 93 memorial,False
41,Yankees Profit From Their Own Seventh-Inning Stretch,False
42,At least twenty dead after mudslides in Peru,False
43,Iran Plans Tests Toward Starting a Nuclear Plant,False
44,Contestant seriously injured during live German game show,False
45,Former US Senator Jesse Helms dead at 86,False
46,Kimi Räikkönen wins 2009 Belgian Grand Prix,False
47,Yahoo and Microsoft Said to Be Weighing Ad Pact,False
48,Suspect in model Jasmine Fiore's murder found dead,False
49,Irish win narrowly over Italy in RBS 6 opening match,False
50,"In Gaza, Weighing Crimes and Ethics in Urban Warfare",False
51,Australian newspapers could be fined for breaches of media standards,False
52,Bull moose shot by police in Alaska,False
53,A Town Reborn Faces a New Threat,False
54,"Islamist militia driven out of Mogadishu, vow to keep fighting",False
55,Ichiro Suzuki Delivers Memorable Conclusion to W.B.C.,False
56,Controversial U.S. abortion doctor shot dead in Kansas church,False
57,Iran executes woman despite stay of execution,False
58,General Says Shoot Dealers in Afghanistan,False
59,Former Indian President R. Venkataraman dies age 98,False
60,Failed suicide bomber imprisoned for life,False
61,Queensland win W-League Grand Final,False
62,Obama Toughens Lighting Rules to Cut Energy Use,False
63,Inuk hunter adrift on arctic ice floe,False
64,Human remains in mass grave confirm Argentina secret death camp,False
65,Australian rules football: 2010 Gippsland Football League finals take shape two weeks out,False
66,Local Agencies Team Up to Sell Industry on Minneapolis,False
67,"United Airlines to hire 2,000 flight attendants",False
68,More Banks Under Stress as Recession Wears On,False
69,"Police officer killed, at least 18 injured in south Thailand blasts",False
70,Senior Afghan General Dies in Helicopter Crash,False
71,Taibu quits Zimbabwe cricket team after further threats,False
72,"To Get a Business Loan, Know How the Bank Thinks",False
73,Muslim Brotherhood facing troubled times,False
74,Cuba to use open-source software,False
75,Dwarf gets penis glued to vacuum cleaner,False
76,"Body of missing student found in Bath, England",False
77,Botswana holds parliamentary elections,False
78,Search continues for nine missing after midair collision off California,False
79,Leaders Meet Amid Tensions Over Report Of Turkish Plot,False
80,When the Mall Looks More Like Main Street,False
81,Pork Industry Fights Concerns Over Swine Flu,False
82,Details emerge on how al-Zarqawi's location was pinned,False
83,Next generation DVD format war nearing deadline,False
84,Two Editors to Share No. 2 Spot at The Associated Press,False
85,"In Reporting a Scandal, the Media Are Accused of Just Listening",False
86,Elections in El Salvador Invoke Rivalries of Civil War Years,False
87,Olympic gold medalist Evan Lysacek gets hero's welcome in hometown,False
88,Activists protest against School of the Americas,False
89,Macedonia says compromise with Greece over name dispute possible,False
90,Alcatel Chief Tries to Paint a Rosy Picture,False
91,UN official: DR Congo is ‘rape capital of the world’,False
92,Canadian top court strikes down private medicare ban in Quebec,False
93,Shadows of Violence Cling to Indian Politician,False
94,Cafe Experience Is Shifting to the Home,False
95,Controversial Archbishop Abandons a Move to New Jersey,False
96,Pittsburgh Dominates San Diego to Reach A.F.C. Title Game,False
97,Obama Speaks at N.A.A.C.P. Celebration,False
98,Woman gives birth on New Jersey PATH train,False
99,One Bid to Organize Nurses Faces Setback in Congress,False
100,Red Sox And Varitek Agree to 1-Year Deal,False
101,"UEFA Cup: April 10, 2008",False
102,Coordinated terrorist attack hits London,False
103,"Transgender woman dies after beating in Harlem, New York",False
104,"Apple announces Mac OS X Lion, iOS 5, and iCloud",False
105,Louisville Withstands Late Villanova Threat,False
106,New Rules to Allow Some Players to Switch National Teams,False
107,Lesbians lose High Court marriage bid,False
108,Court ruling upholds expulsion of New York Senator convicted of assault,False
109,Mathematics summer school in Turkey threatened by authorities,False
110,Myanmar Presses Case Against Pro-Democracy Leader,False
111,New York Times reporter rescued in Afghanistan,False
112,"Cheney gets ovation, shooting victim apologizes to Cheney",False
113,Microsoft develops anti-virus product,False
114,Woman suffers heart attack at cardiology summit,False
115,Canadian singer Justin Bieber to publish memoir,False
116,Cable Industry Starts to Regret Putting Free Shows Online,False
117,An Unexpected Increase in Factory Orders,False
118,Moldovan president tells NATO over half a million Moldovans held hostage in separatist Transnistria,False
119,Mongolia's ex-communists ahead going into Sunday's election,False
120,Scientists debate whether Hurricane Katrina was aggravated by global warming,False
121,Britain to Add 700 Troops to Afghan War,False
122,Salmonella in Pistachios Spurs Recall,False
123,Nokia launches internet music store,False
124,UEFA Euro 2008: Błaszczykowski injury damages Poland's Euro 2008 hopes,False
125,Community forum held after attacks on Mormon teens in Arizona,False
126,Hitler doll story found to be hoaxed,False
