date,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
2020-02-27,2020-02-27,1.0,1.0,,,,,0.058,0.058,,,,,,7.0,0.408,1.0,0.058,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-02-28,2020-02-28,6.0,5.0,,,,,0.349,0.291,,,,,,8.0,0.466,9.0,0.524,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-02-29,2020-02-29,10.0,4.0,,,,,0.582,0.233,,,,,,9.0,0.524,10.0,0.582,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-01,2020-03-01,18.0,8.0,,,,,1.048,0.466,,,,,,11.0,0.641,20.0,1.165,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-02,2020-03-02,24.0,6.0,,,,,1.398,0.349,,,,,,10.0,0.582,34.0,1.98,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-03,2020-03-03,38.0,14.0,,,,,2.213,0.815,,,,,,12.0,0.699,40.0,2.329,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-04,2020-03-04,82.0,44.0,11.714,,,,4.775,2.562,0.682,,,,,15.0,0.873,53.0,3.086,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-05,2020-03-05,128.0,46.0,18.143,,,,7.454,2.679,1.056,,,,,15.0,0.873,65.0,3.785,,,,,,,,,5.56,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-06,2020-03-06,188.0,60.0,26.0,1.0,1.0,,10.947,3.494,1.514,0.058,0.058,,2.83,19.0,1.106,77.0,4.484,,,,,,,,,11.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-07,2020-03-07,265.0,77.0,36.429,1.0,0.0,,15.431,4.484,2.121,0.058,0.0,,2.74,21.0,1.223,93.0,5.415,,,,,,,,,11.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-08,2020-03-08,321.0,56.0,43.286,3.0,2.0,,18.692,3.261,2.521,0.175,0.116,,2.55,27.0,1.572,108.0,6.289,,,,,,,,,11.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-09,2020-03-09,382.0,61.0,51.143,3.0,0.0,,22.244,3.552,2.978,0.175,0.0,,2.48,32.0,1.863,141.0,8.211,,,,,,,,,11.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-10,2020-03-10,503.0,121.0,66.429,4.0,1.0,,29.29,7.046,3.868,0.233,0.058,,2.51,39.0,2.271,174.0,10.132,,,,,,,,,20.83,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-11,2020-03-11,603.0,100.0,74.429,5.0,1.0,,35.113,5.823,4.334,0.291,0.058,,2.46,48.0,2.795,215.0,12.52,,,,,,,,,20.83,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-12,2020-03-12,804.0,201.0,96.571,5.0,0.0,0.714,46.817,11.704,5.623,0.291,0.0,0.042,2.48,68.0,3.96,283.0,16.479,,,,,,,,,45.37,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-13,2020-03-13,959.0,155.0,110.143,10.0,5.0,1.286,55.843,9.026,6.414,0.582,0.291,0.075,2.37,79.0,4.6,350.0,20.381,,,,,,,,,53.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-14,2020-03-14,1135.0,176.0,124.286,12.0,2.0,1.571,66.092,10.249,7.237,0.699,0.116,0.092,2.37,96.0,5.59,424.0,24.69,,,,,,,,,53.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-15,2020-03-15,1413.0,278.0,156.0,20.0,8.0,2.429,82.28,16.188,9.084,1.165,0.466,0.141,2.45,120.0,6.988,500.0,29.115,,,,,,,,,53.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-16,2020-03-16,1705.0,292.0,189.0,24.0,4.0,3.0,99.283,17.003,11.006,1.398,0.233,0.175,2.41,150.0,8.735,636.0,37.035,,,,,,,,,61.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-17,2020-03-17,2051.0,346.0,221.143,43.0,19.0,5.571,119.431,20.148,12.877,2.504,1.106,0.324,2.33,179.0,10.423,775.0,45.129,,,,,,,,,61.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-18,2020-03-18,2460.0,409.0,265.286,58.0,15.0,7.571,143.247,23.816,15.448,3.377,0.873,0.441,2.28,228.0,13.277,966.0,56.251,,,,,,,,,61.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-19,2020-03-19,2994.0,534.0,312.857,76.0,18.0,10.143,174.342,31.095,18.218,4.426,1.048,0.591,2.21,287.0,16.712,1234.0,71.857,,,,,,,,,61.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-20,2020-03-20,3632.0,638.0,381.857,106.0,30.0,13.714,211.494,37.151,22.236,6.172,1.747,0.799,2.17,362.0,21.079,1482.0,86.298,,,,,,,,,61.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-21,2020-03-21,4205.0,573.0,438.571,136.0,30.0,17.714,244.86,33.366,25.538,7.919,1.747,1.032,2.07,430.0,25.039,1671.0,97.303,,,,,,,,,61.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-22,2020-03-22,4750.0,545.0,476.714,179.0,43.0,22.714,276.595,31.736,27.759,10.423,2.504,1.323,2.02,480.0,27.951,1871.0,108.949,,,,,,,,,61.11,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-23,2020-03-23,5562.0,812.0,551.0,213.0,34.0,27.0,323.879,47.283,32.085,12.403,1.98,1.572,2.03,573.0,33.366,2244.0,130.67,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-24,2020-03-24,6414.0,852.0,623.286,276.0,63.0,33.286,373.491,49.612,36.294,16.072,3.669,1.938,1.94,653.0,38.025,2544.0,148.139,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-25,2020-03-25,7434.0,1020.0,710.571,356.0,80.0,42.571,432.886,59.395,41.377,20.73,4.658,2.479,1.87,752.0,43.789,2811.0,163.686,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-26,2020-03-26,8606.0,1172.0,801.714,434.0,78.0,51.143,501.133,68.246,46.684,25.272,4.542,2.978,1.76,838.0,48.797,2952.0,171.897,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-27,2020-03-27,9765.0,1159.0,876.143,546.0,112.0,62.857,568.622,67.489,51.018,31.794,6.522,3.66,1.65,927.0,53.98,3226.0,187.852,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-28,2020-03-28,10869.0,1104.0,952.0,639.0,93.0,71.857,632.909,64.287,55.436,37.209,5.415,4.184,1.54,992.0,57.765,3284.0,191.229,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-29,2020-03-29,11756.0,887.0,1000.857,771.0,132.0,84.571,684.559,51.651,58.281,44.896,7.686,4.925,1.44,1038.0,60.443,3284.0,191.229,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-30,2020-03-30,12601.0,845.0,1005.571,864.0,93.0,93.0,733.764,49.205,58.555,50.311,5.415,5.415,1.35,1126.0,65.568,3232.0,188.201,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-03-31,2020-03-31,13620.0,1019.0,1029.429,1039.0,175.0,109.0,793.101,59.337,59.944,60.502,10.19,6.347,1.28,1191.0,69.353,3095.0,180.224,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-04-01,2020-04-01,14713.0,1093.0,1039.857,1174.0,135.0,116.857,856.747,63.646,60.552,68.363,7.861,6.805,1.21,1208.0,70.343,2945.0,171.489,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-04-02,2020-04-02,15741.0,1028.0,1019.286,1340.0,166.0,129.429,916.608,59.861,59.354,78.029,9.666,7.537,1.14,1249.0,72.73,2807.0,163.453,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-04-03,2020-04-03,16650.0,909.0,983.571,1489.0,149.0,134.714,969.54,52.932,57.274,86.705,8.676,7.844,1.13,1276.0,74.302,2531.0,147.382,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
2020-04-04,2020-04-04,17874.0,1224.0,1000.714,1655.0,166.0,145.143,1040.814,71.274,58.272,96.372,9.666,8.452,1.17,1360.0,79.194,2570.0,149.653,,,,,,,,,78.7,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,0.944
