,Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Amount (USD)
0,1.0,55.0,Male,Blouse,Clothing,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14.0,Venmo,Fortnightly,53.0
1,2.0,19.0,Male,Sweater,Clothing,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2.0,Cash,Fortnightly,64.0
2,3.0,50.0,Male,Jeans,Clothing,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly,73.0
3,4.0,21.0,Male,Sandals,Footwear,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49.0,PayPal,Weekly,90.0
4,5.0,45.0,Male,Blouse,Clothing,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31.0,PayPal,Annually,49.0
5,6.0,46.0,Male,Sneakers,Footwear,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14.0,Venmo,Weekly,20.0
6,7.0,63.0,Male,Shirt,Clothing,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49.0,Cash,Quarterly,85.0
7,8.0,27.0,Male,Shorts,Clothing,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly,34.0
8,9.0,26.0,Male,Coat,Outerwear,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8.0,Venmo,Annually,97.0
9,10.0,57.0,Male,Handbag,Accessories,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly,31.0
10,11.0,53.0,,Shoes,Footwear,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly,34.0
11,12.0,30.0,Male,Shorts,Clothing,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,,Bank Transfer,Fortnightly,68.0
12,13.0,61.0,Male,Coat,Outerwear,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37.0,Venmo,Fortnightly,72.0
13,,65.0,,Dress,Clothing,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31.0,PayPal,Weekly,51.0
14,15.0,,Male,Coat,Outerwear,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly,53.0
15,16.0,64.0,Male,Skirt,Clothing,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8.0,PayPal,Monthly,81.0
16,17.0,25.0,Male,Sunglasses,Accessories,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44.0,Debit Card,Bi-Weekly,36.0
17,18.0,53.0,Male,Dress,Clothing,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly,38.0
18,19.0,52.0,Male,Sweater,Clothing,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17.0,Cash,Weekly,48.0
19,20.0,66.0,Male,Pants,Clothing,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly,90.0
20,21.0,21.0,Male,Pants,Clothing,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50.0,Cash,Every 3 Months,51.0
21,22.0,31.0,Male,Pants,Clothing,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly,62.0
22,23.0,56.0,Male,Pants,Clothing,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,37.0
23,24.0,31.0,Male,Pants,Clothing,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,88.0
24,25.0,18.0,Male,Jacket,Outerwear,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,22.0
25,26.0,18.0,Male,Hoodie,Clothing,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,PayPal,Annually,25.0
26,27.0,38.0,Male,Jewelry,Accessories,Nevada,M,Red,Spring,3.6,,Next Day Air,Yes,Yes,13.0,Credit Card,Annually,20.0
27,28.0,56.0,Male,Shorts,Clothing,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,56.0
28,29.0,54.0,Male,Handbag,Accessories,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,94.0
29,30.0,31.0,Male,Dress,Clothing,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly,48.0
30,31.0,57.0,Male,Jewelry,Accessories,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16.0,Credit Card,Monthly,31.0
